Class ID,Class Name,Easy Accuracy,Hard Accuracy,Drop
10,"brambling, Fringilla montifringilla",0.9385964912280702,0.8611111111111112,0.07748538011695905
100,"black swan, Cygnus atratus",1.0,1.0,0.0
102,"echidna, spiny anteater, anteater",0.6554621848739496,0.1650943396226415,0.49036784525130805
128,"black stork, Ciconia nigra",0.9615384615384616,0.7153284671532847,0.24620999438517688
130,flamingo,0.907103825136612,0.8613861386138614,0.045717686522750656
133,bittern,0.8829787234042553,0.7238095238095238,0.15916919959473153
144,pelican,0.9800995024875622,0.9081632653061225,0.07193623718143971
150,sea lion,0.9482758620689655,0.9811320754716981,-0.03285621340273259
16,bulbul,0.2786885245901639,0.17679558011049723,0.10189294447966668
20,"water ouzel, dipper",0.9565217391304348,0.8148148148148148,0.14170692431562004
23,Vulture,0.9722222222222222,0.8979591836734694,0.07426303854875282
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.7843137254901961,0.6527777777777778,0.13153594771241828
276,"hyena, hyaena",0.9323529411764706,0.96,-0.027647058823529358
277,"red fox, Vulpes vulpes",0.823943661971831,0.8476190476190476,-0.023675385647216607
279,"Arctic fox, white fox, Alopex lagopus",0.9180327868852459,0.7051282051282052,0.21290458175704075
290,"jaguar, panther, Panthera onca, Felis onca",0.734375,0.5874439461883408,0.14693105381165916
291,"lion, king of beasts, Panthera leo",0.9844961240310077,0.9095022624434389,0.07499386158756882
293,"cheetah, chetah, Acinonyx jubatus",0.9466019417475728,0.75,0.19660194174757284
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",1.0,0.9727272727272728,0.027272727272727226
30,"bullfrog, Rana catesbeiana",0.9628252788104089,0.7792207792207793,0.18360449958962965
305,dung beetle,0.7230769230769231,0.48936170212765956,0.2337152209492635
316,"cicada, cicala",0.9241379310344827,0.8068181818181818,0.11731974921630095
33,"loggerhead, loggerhead turtle, Caretta caretta",0.9065420560747663,0.5274725274725275,0.37906952860223886
337,beaver,0.8640776699029126,0.92,-0.05592233009708747
349,"bighorn, bighorn sheep, cimarron",0.9578947368421052,0.9166666666666666,0.041228070175438614
357,mink,0.5714285714285714,0.37254901960784315,0.19887955182072825
360,otter,0.9312977099236641,0.819047619047619,0.1122500908760451
37,"box turtle, box tortoise",0.9384615384615385,0.8229166666666666,0.11554487179487183
39,"common iguana, iguana, Iguana iguana",0.9,0.717948717948718,0.18205128205128207
41,"whiptail, whiptail lizard",0.8259109311740891,0.51,0.3159109311740891
42,agama,0.5975609756097561,0.3475177304964539,0.25004324511330217
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.9333333333333333,0.7530864197530864,0.18024691358024691
54,"hognose snake, puff adder, sand viper",0.12953367875647667,0.024390243902439025,0.10514343485403765
56,"king snake, kingsnake",0.6991150442477876,0.7216494845360825,-0.022534440288294877
57,"garter snake, grass snake",0.9615384615384616,0.889795918367347,0.07174254317111461
58,water snake,0.9006622516556292,0.13580246913580246,0.7648597825198267
70,"harvestman, daddy longlegs, Phalangium opilio",0.8922155688622755,0.752,0.14021556886227549
71,scorpion,0.9746835443037974,0.7992277992277992,0.17545574507599826
76,tarantula,0.9650655021834061,0.8974358974358975,0.06762960474750868
79,centipede,0.9166666666666666,0.7788461538461539,0.13782051282051277
80,black grouse,0.7555555555555555,0.5736434108527132,0.18191214470284234
81,ptarmigan,0.9649122807017544,0.6565656565656566,0.3083466241360978
83,"prairie chicken, prairie grouse, prairie fowl",0.7149532710280374,0.32558139534883723,0.3893718756792002
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.934640522875817,0.8585858585858586,0.07605466428995844
9,"ostrich, Struthio camelus",0.9607843137254902,0.9821428571428571,-0.02135854341736687
