Class ID,Class Name,Easy Accuracy,Hard Accuracy,Drop
10,"brambling, Fringilla montifringilla",0.8508771929824561,0.7870370370370371,0.06384015594541903
100,"black swan, Cygnus atratus",0.9824561403508771,0.900990099009901,0.08146604134097613
102,"echidna, spiny anteater, anteater",0.12605042016806722,0.03773584905660377,0.08831457111146346
128,"black stork, Ciconia nigra",0.7435897435897436,0.8102189781021898,-0.06662923451244618
130,flamingo,0.8524590163934426,0.594059405940594,0.25839961045284854
133,bittern,0.898936170212766,0.5428571428571428,0.35607902735562313
144,pelican,0.900497512437811,0.5306122448979592,0.36988526753985174
150,sea lion,0.8620689655172413,0.7735849056603774,0.08848405985686392
16,bulbul,0.07377049180327869,0.08839779005524862,-0.014627298251969928
20,"water ouzel, dipper",0.9486166007905138,0.7654320987654321,0.18318450202508174
23,Vulture,0.6597222222222222,0.5510204081632653,0.10870181405895696
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.9313725490196079,0.8611111111111112,0.0702614379084967
276,"hyena, hyaena",0.8088235294117647,0.8,0.008823529411764675
277,"red fox, Vulpes vulpes",0.29577464788732394,0.2761904761904762,0.01958417169684773
279,"Arctic fox, white fox, Alopex lagopus",0.8278688524590164,0.4230769230769231,0.40479192938209335
290,"jaguar, panther, Panthera onca, Felis onca",0.40625,0.2600896860986547,0.14616031390134532
291,"lion, king of beasts, Panthera leo",0.8410852713178295,0.579185520361991,0.2618997509558385
293,"cheetah, chetah, Acinonyx jubatus",0.9563106796116505,0.6730769230769231,0.2832337565347274
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",0.9841269841269841,0.8818181818181818,0.10230880230880224
30,"bullfrog, Rana catesbeiana",0.8698884758364313,0.538961038961039,0.3309274368753923
305,dung beetle,0.6615384615384615,0.40425531914893614,0.2572831423895254
316,"cicada, cicala",0.7379310344827587,0.5,0.23793103448275865
33,"loggerhead, loggerhead turtle, Caretta caretta",0.7383177570093458,0.17582417582417584,0.5624935811851699
337,beaver,0.8252427184466019,0.71,0.11524271844660194
349,"bighorn, bighorn sheep, cimarron",0.7368421052631579,0.6979166666666666,0.038925438596491224
357,mink,0.8831168831168831,0.38235294117647056,0.5007639419404125
360,otter,0.6641221374045801,0.3142857142857143,0.34983642311886587
37,"box turtle, box tortoise",0.9230769230769231,0.8177083333333334,0.10536858974358976
39,"common iguana, iguana, Iguana iguana",0.48,0.3076923076923077,0.17230769230769227
41,"whiptail, whiptail lizard",0.8744939271255061,0.55,0.32449392712550607
42,agama,0.8048780487804879,0.3546099290780142,0.45026811970247366
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.8666666666666667,0.5308641975308642,0.3358024691358025
54,"hognose snake, puff adder, sand viper",0.41968911917098445,0.10569105691056911,0.3139980622604153
56,"king snake, kingsnake",0.7168141592920354,0.6082474226804123,0.10856673661162308
57,"garter snake, grass snake",0.7948717948717948,0.3673469387755102,0.4275248560962846
58,water snake,0.8211920529801324,0.24691358024691357,0.5742784727332189
70,"harvestman, daddy longlegs, Phalangium opilio",0.7764471057884231,0.488,0.28844710578842314
71,scorpion,0.7974683544303798,0.5366795366795367,0.26078881775084306
76,tarantula,0.9213973799126638,0.7243589743589743,0.19703840555368946
79,centipede,0.7666666666666667,0.6346153846153846,0.13205128205128214
80,black grouse,0.6444444444444445,0.4573643410852713,0.1870801033591732
81,ptarmigan,0.8947368421052632,0.6666666666666666,0.22807017543859653
83,"prairie chicken, prairie grouse, prairie fowl",0.5607476635514018,0.19767441860465115,0.36307324494675064
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.9934640522875817,0.797979797979798,0.1954842543077837
9,"ostrich, Struthio camelus",0.9117647058823529,0.8214285714285714,0.09033613445378152
