Class ID,Class Name,Easy Accuracy,Hard Accuracy,Drop
10,"brambling, Fringilla montifringilla",0.8596491228070176,0.8240740740740741,0.03557504873294348
100,"black swan, Cygnus atratus",1.0,0.900990099009901,0.09900990099009899
102,"echidna, spiny anteater, anteater",0.3697478991596639,0.06132075471698113,0.30842714444268277
128,"black stork, Ciconia nigra",0.9358974358974359,0.9197080291970803,0.016189406700355624
130,flamingo,0.9180327868852459,0.8514851485148515,0.06654763837039446
133,bittern,0.824468085106383,0.6,0.22446808510638305
144,pelican,0.9701492537313433,0.9285714285714286,0.041577825159914705
150,sea lion,0.9482758620689655,0.9433962264150944,0.004879635653871173
16,bulbul,0.02459016393442623,0.011049723756906077,0.013540440177520152
20,"water ouzel, dipper",0.9130434782608695,0.7222222222222222,0.1908212560386473
23,Vulture,0.8819444444444444,0.8061224489795918,0.07582199546485258
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.9950980392156863,0.9583333333333334,0.03676470588235292
276,"hyena, hyaena",0.8529411764705882,0.76,0.0929411764705882
277,"red fox, Vulpes vulpes",0.6619718309859155,0.6761904761904762,-0.014218645204560731
279,"Arctic fox, white fox, Alopex lagopus",0.7622950819672131,0.16666666666666666,0.5956284153005464
290,"jaguar, panther, Panthera onca, Felis onca",0.53125,0.32286995515695066,0.20838004484304934
291,"lion, king of beasts, Panthera leo",0.937984496124031,0.7782805429864253,0.15970395313760566
293,"cheetah, chetah, Acinonyx jubatus",0.9951456310679612,0.8942307692307693,0.1009148618371919
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",1.0,0.9181818181818182,0.08181818181818179
30,"bullfrog, Rana catesbeiana",0.9516728624535316,0.7987012987012987,0.15297156375223286
305,dung beetle,0.8,0.5212765957446809,0.27872340425531916
316,"cicada, cicala",0.8206896551724138,0.625,0.19568965517241377
33,"loggerhead, loggerhead turtle, Caretta caretta",0.7429906542056075,0.6593406593406593,0.08364999486494817
337,beaver,0.9029126213592233,0.88,0.02291262135922334
349,"bighorn, bighorn sheep, cimarron",0.7473684210526316,0.6979166666666666,0.04945175438596494
357,mink,0.7922077922077922,0.5294117647058824,0.2627960275019099
360,otter,0.8702290076335878,0.7238095238095238,0.146419483824064
37,"box turtle, box tortoise",0.9692307692307692,0.9010416666666666,0.0681891025641026
39,"common iguana, iguana, Iguana iguana",0.84,0.6068376068376068,0.23316239316239318
41,"whiptail, whiptail lizard",0.854251012145749,0.67,0.1842510121457489
42,agama,0.8170731707317073,0.5886524822695035,0.22842068846220376
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.9,0.7530864197530864,0.1469135802469136
54,"hognose snake, puff adder, sand viper",0.13471502590673576,0.024390243902439025,0.11032478200429674
56,"king snake, kingsnake",0.6504424778761062,0.5876288659793815,0.06281361189672474
57,"garter snake, grass snake",0.9230769230769231,0.4122448979591837,0.5108320251177394
58,water snake,0.8344370860927153,0.24691358024691357,0.5875235058458017
70,"harvestman, daddy longlegs, Phalangium opilio",0.8283433133732535,0.552,0.27634331337325346
71,scorpion,0.8987341772151899,0.694980694980695,0.20375348223449485
76,tarantula,0.9606986899563319,0.8461538461538461,0.11454484380248575
79,centipede,0.9333333333333333,0.8461538461538461,0.0871794871794872
80,black grouse,0.6666666666666666,0.4728682170542636,0.19379844961240306
81,ptarmigan,0.9649122807017544,0.7474747474747475,0.21743753322700687
83,"prairie chicken, prairie grouse, prairie fowl",0.9252336448598131,0.5813953488372093,0.34383829602260374
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.9673202614379085,0.9292929292929293,0.03802733214497922
9,"ostrich, Struthio camelus",0.9313725490196079,0.9285714285714286,0.0028011204481792618
