Class ID,Class Name,Easy Accuracy,Hard Accuracy,Drop
10,"brambling, Fringilla montifringilla",0.9385964912280702,0.7592592592592593,0.1793372319688109
100,"black swan, Cygnus atratus",0.9883040935672515,0.8613861386138614,0.1269179549533901
102,"echidna, spiny anteater, anteater",0.4369747899159664,0.08490566037735849,0.3520691295386079
128,"black stork, Ciconia nigra",0.8589743589743589,0.7956204379562044,0.06335392101815451
130,flamingo,0.9234972677595629,0.8217821782178217,0.10171508954174113
133,bittern,0.9574468085106383,0.8285714285714286,0.12887537993920972
144,pelican,0.9900497512437811,0.9387755102040817,0.051274241039699464
150,sea lion,0.9482758620689655,0.9433962264150944,0.004879635653871173
16,bulbul,0.14754098360655737,0.07734806629834254,0.07019291730821484
20,"water ouzel, dipper",0.9446640316205533,0.9012345679012346,0.04342946371931877
23,Vulture,0.9791666666666666,0.826530612244898,0.15263605442176864
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.9852941176470589,0.9722222222222222,0.013071895424836666
276,"hyena, hyaena",0.8647058823529412,0.8,0.06470588235294117
277,"red fox, Vulpes vulpes",0.7676056338028169,0.7142857142857143,0.053319919517102576
279,"Arctic fox, white fox, Alopex lagopus",0.8852459016393442,0.6068376068376068,0.27840829480173745
290,"jaguar, panther, Panthera onca, Felis onca",0.828125,0.672645739910314,0.15547926008968604
291,"lion, king of beasts, Panthera leo",0.9302325581395349,0.8235294117647058,0.10670314637482903
293,"cheetah, chetah, Acinonyx jubatus",0.9805825242718447,0.8269230769230769,0.1536594473487678
296,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",1.0,0.9090909090909091,0.09090909090909094
30,"bullfrog, Rana catesbeiana",0.8401486988847584,0.6753246753246753,0.16482402356008308
305,dung beetle,0.5846153846153846,0.14893617021276595,0.4356792144026187
316,"cicada, cicala",0.8068965517241379,0.5681818181818182,0.23871473354231965
33,"loggerhead, loggerhead turtle, Caretta caretta",0.8130841121495327,0.6923076923076923,0.1207764198418404
337,beaver,0.9029126213592233,0.93,-0.027087378640776705
349,"bighorn, bighorn sheep, cimarron",0.6421052631578947,0.6041666666666666,0.037938596491228105
357,mink,0.7272727272727273,0.24509803921568626,0.482174688057041
360,otter,0.8091603053435115,0.5333333333333333,0.27582697201017814
37,"box turtle, box tortoise",0.8769230769230769,0.7447916666666666,0.1321314102564103
39,"common iguana, iguana, Iguana iguana",0.5,0.4017094017094017,0.09829059829059827
41,"whiptail, whiptail lizard",0.7368421052631579,0.13,0.6068421052631578
42,agama,0.6067073170731707,0.425531914893617,0.1811754021795537
49,"African crocodile, Nile crocodile, Crocodylus niloticus",0.8888888888888888,0.7283950617283951,0.16049382716049376
54,"hognose snake, puff adder, sand viper",0.16580310880829016,0.07317073170731707,0.09263237710097309
56,"king snake, kingsnake",0.6371681415929203,0.4536082474226804,0.18355989417023993
57,"garter snake, grass snake",0.8589743589743589,0.1836734693877551,0.6753008895866038
58,water snake,0.8807947019867549,0.5123456790123457,0.3684490229744092
70,"harvestman, daddy longlegs, Phalangium opilio",0.7724550898203593,0.528,0.24445508982035924
71,scorpion,0.8734177215189873,0.6988416988416989,0.17457602267728844
76,tarantula,0.9126637554585153,0.7115384615384616,0.20112529392005374
79,centipede,0.75,0.6923076923076923,0.05769230769230771
80,black grouse,0.7111111111111111,0.5581395348837209,0.15297157622739022
81,ptarmigan,1.0,0.8080808080808081,0.19191919191919193
83,"prairie chicken, prairie grouse, prairie fowl",0.8271028037383178,0.4069767441860465,0.4201260595522713
89,"sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita",0.9869281045751634,0.9494949494949495,0.03743315508021394
9,"ostrich, Struthio camelus",0.9313725490196079,0.9107142857142857,0.020658263305322166
